Timestamp,Value,Unit,RawHex,Method,Consistent
2025-05-17T13:06:25.976Z,0,mm,4e 45 47 41 54 49 56 45 5f 46 4f 52 4d 41 54 3a 2d 30 30 30 30 30 30,Negative format (÷1000),true
2025-05-17T13:06:25.978Z,450.302,mm,53 50 45 43 49 41 4c 5f 46 4f 52 4d 41 54 3a 34 35 30 33 30 32,Special format (÷1000),false
2025-05-17T13:06:25.980Z,198.011,mm,53 50 45 43 49 41 4c 5f 46 4f 52 4d 41 54 3a 31 39 38 30 31 31,Special format (÷1000),false
2025-05-17T13:06:25.982Z,281.53,mm,53 50 45 43 49 41 4c 5f 46 4f 52 4d 41 54 3a 32 38 31 35 33 30,Special format (÷1000),false
2025-05-17T13:06:25.984Z,0,mm,30 30 30 30 30 2d 30 30,ASCII text,true
2025-05-17T13:06:25.988Z,30.219,mm,30 33 30 32 31 39 38 30,6-digit format (÷1000),false
2025-05-17T13:06:25.990Z,112.815,mm,31 31 32 38 31 35 33 30,6-digit format (÷1000),false
2025-05-17T13:06:26.560Z,9.891,mm,53 50 45 43 49 41 4c 5f 46 4f 52 4d 41 54 3a 30 30 39 38 39 31,Special format (÷1000),false
2025-05-17T13:06:26.664Z,9.891,mm,53 50 45 43 49 41 4c 5f 46 4f 52 4d 41 54 3a 30 30 39 38 39 31,Special format (÷1000),true
2025-05-17T13:06:26.667Z,0.45,mm,39 38 39 31 0d 12 2d 00,16-bit LE ×0.01,true
2025-05-17T13:06:26.671Z,9.891,mm,30 30 39 38 39 31 0d 12,6-digit format (÷1000),true
2025-05-17T13:06:26.770Z,9.891,mm,53 50 45 43 49 41 4c 5f 46 4f 52 4d 41 54 3a 30 30 39 38 39 31,Special format (÷1000),true
2025-05-17T13:06:26.775Z,9.891,mm,2d 00 30 30 39 38 39 31,6-digit format (÷1000),true
2025-05-17T13:06:26.871Z,9.891,mm,53 50 45 43 49 41 4c 5f 46 4f 52 4d 41 54 3a 30 30 39 38 39 31,Special format (÷1000),true
2025-05-17T13:06:26.875Z,-98,mm,0d 12 2d 00 30 30 39 38,ASCII text,true
2025-05-17T13:06:26.974Z,9.891,mm,53 50 45 43 49 41 4c 5f 46 4f 52 4d 41 54 3a 30 30 39 38 39 31,Special format (÷1000),true
2025-05-17T13:06:27.077Z,9.891,mm,53 50 45 43 49 41 4c 5f 46 4f 52 4d 41 54 3a 30 30 39 38 39 31,Special format (÷1000),true
2025-05-17T13:06:27.082Z,0.45,mm,39 38 39 31 0d 12 2d 00,16-bit LE ×0.01,false
2025-05-17T13:06:27.086Z,9.891,mm,30 30 39 38 39 31 0d 12,6-digit format (÷1000),true
2025-05-17T13:06:27.181Z,9.891,mm,53 50 45 43 49 41 4c 5f 46 4f 52 4d 41 54 3a 30 30 39 38 39 31,Special format (÷1000),true
2025-05-17T13:06:27.185Z,9.891,mm,2d 00 30 30 39 38 39 31,6-digit format (÷1000),true
2025-05-17T13:06:27.284Z,9.891,mm,53 50 45 43 49 41 4c 5f 46 4f 52 4d 41 54 3a 30 30 39 38 39 31,Special format (÷1000),true
2025-05-17T13:06:27.288Z,-98,mm,0d 12 2d 00 30 30 39 38,ASCII text,true
2025-05-17T13:06:27.388Z,9.891,mm,53 50 45 43 49 41 4c 5f 46 4f 52 4d 41 54 3a 30 30 39 38 39 31,Special format (÷1000),true
2025-05-17T13:06:27.491Z,9.891,mm,53 50 45 43 49 41 4c 5f 46 4f 52 4d 41 54 3a 30 30 39 38 39 31,Special format (÷1000),true
2025-05-17T13:06:27.496Z,0.45,mm,39 38 39 31 0d 12 2d 00,16-bit LE ×0.01,false
2025-05-17T13:06:27.501Z,9.891,mm,30 30 39 38 39 31 0d 12,6-digit format (÷1000),true
2025-05-17T13:06:27.594Z,9.891,mm,53 50 45 43 49 41 4c 5f 46 4f 52 4d 41 54 3a 30 30 39 38 39 31,Special format (÷1000),true
2025-05-17T13:06:27.599Z,9.891,mm,2d 00 30 30 39 38 39 31,6-digit format (÷1000),true